"experiment_id","started_at_utc","database","keyspace","consistency_level","replication_factor","cluster_node_count","dataset_path","write_dataset_size","read_dataset_size","concurrency","warmup_runs","measurement_runs","java_version","java_vendor","os_name","os_version","os_arch","available_processors","max_memory_bytes"
"EXP-20260822T213226Z-d3a22beb","2026-08-22T21:32:26.093279600Z","cassandra","preloaded_benchmark","LOCAL_QUORUM","3","3","../data-generator/output/telemetry-50m","1000000","1000000","16","1","3","21.0.12","Eclipse Adoptium","Windows 11","10.0","amd64","8","8531214336"
"EXP-20260823T073101Z-2c9b0259","2026-08-23T07:31:01.829294300Z","scylla","preloaded_benchmark","LOCAL_QUORUM","3","3","../data-generator/output/telemetry-50m","1000000","1000000","16","1","3","21.0.12","Eclipse Adoptium","Windows 11","10.0","amd64","8","8531214336"
"EXP-20260823T113136Z-91c45ea8","2026-08-23T11:31:36.364701200Z","cassandra","preloaded_benchmark_1node_v2","LOCAL_QUORUM","1","1","../data-generator/output/telemetry-50m","1000000","1000000","16","1","3","21.0.12","Eclipse Adoptium","Windows 11","10.0","amd64","8","8531214336"
"EXP-20260823T122011Z-7592871f","2026-08-23T12:20:11.812749900Z","scylla","preloaded_benchmark_1node_v2","LOCAL_QUORUM","1","1","../data-generator/output/telemetry-50m","1000000","1000000","16","1","3","21.0.12","Eclipse Adoptium","Windows 11","10.0","amd64","8","8531214336"
"EXP-20260902T164658Z-393fcb49","2026-09-02T16:46:58.197501500Z","cassandra","h3_benchmark_1_node_v1","LOCAL_QUORUM",1,1,"../data-generator/output/telemetry-50m",1000000,1000000,16,1,3,"21.0.12","Eclipse Adoptium","Windows 11","10.0","amd64",8,8531214336
"EXP-20260902T173503Z-8d9fc4fd","2026-09-02T17:35:03.758580Z","scylla","h3_benchmark_1_node_v1","LOCAL_QUORUM",1,1,"../data-generator/output/telemetry-50m",1000000,1000000,16,1,3,"21.0.12","Eclipse Adoptium","Windows 11","10.0","amd64",8,8531214336
"EXP-20260902T183034Z-b015f896","2026-09-02T18:30:34.051104400Z","cassandra","h3_benchmark_3_nodes_v1","LOCAL_QUORUM",1,3,"../data-generator/output/telemetry-50m",1000000,1000000,16,1,3,"21.0.12","Eclipse Adoptium","Windows 11","10.0","amd64",8,8531214336
"EXP-20260902T200018Z-464a5e3f","2026-09-02T20:00:18.690029700Z","scylla","h3_benchmark_3_nodes_v1","LOCAL_QUORUM",1,3,"../data-generator/output/telemetry-50m",1000000,1000000,16,1,3,"21.0.12","Eclipse Adoptium","Windows 11","10.0","amd64",8,8531214336
