suite,datasetSize,nodes,rf,cl,concurrency,profile,throughput_S_C,total_meanMs_S_C,total_p95Ms_S_C,total_p99Ms_S_C,write_meanMs_S_C,write_p95Ms_S_C,write_p99Ms_S_C,cpu_percent_sum_mean_S_C,memory_gib_sum_mean_S_C,client_cpu_percent_S_C,cpu_core_seconds_per_1000_ops_S_C,read_meanMs_S_C,read_p95Ms_S_C,read_p99Ms_S_C
A_H1_H2,1000000,3,3,LOCAL_QUORUM,1,CONCURRENT_WRITE,2.1071865094250857,0.47480994412278055,0.49624666094472164,0.4067986867853442,0.47480994412278055,0.49624666094472164,0.4067986867853442,0.28239848587658634,1.31456035795731,1.1336558631218017,0.13397616697812723,,,
A_H1_H2,1000000,3,3,LOCAL_QUORUM,1,READ_SINGLE,2.091412412567965,0.4777922201287346,0.49663465509182086,0.4573885830591446,,,,0.342343801557751,1.4855426124306514,1.1984550774314053,0.1634348506776429,0.4777922201287346,0.49663465509182086,0.4573885830591446
A_H1_H2,1000000,3,3,LOCAL_QUORUM,8,CONCURRENT_WRITE,1.6460282348541642,0.6075380112454054,0.5685780485380415,0.6037349334569962,0.6075380112454054,0.5685780485380415,0.6037349334569962,0.6059610986841283,1.5042869859911607,1.1869411447769558,0.36818055591008325,,,
A_H1_H2,1000000,3,3,LOCAL_QUORUM,8,READ_SINGLE,1.8262464157645182,0.5457719974246694,0.5207873463014441,0.5666814003797053,,,,0.6358566468145307,1.4868701522969732,1.3442398019892012,0.3470875778132581,0.5457719974246694,0.5207873463014441,0.5666814003797053
A_H1_H2,1000000,3,3,LOCAL_QUORUM,32,CONCURRENT_WRITE,1.9320264596057066,0.5175418273211689,0.5131510781692624,0.5031212266551691,0.5175418273211689,0.5131510781692624,0.5031212266551691,0.7332964854956923,1.504004755105153,1.290524800547402,0.37960686156751283,,,
A_H1_H2,1000000,3,3,LOCAL_QUORUM,32,READ_SINGLE,2.0447932568642417,0.5003485719162155,0.54266356767345,0.6335324088945775,,,,0.7411660534312748,1.4844960378478322,1.2423591528161846,0.37237238668765,0.5003485719162155,0.54266356767345,0.6335324088945775
A_H1_H2,1000000,3,3,LOCAL_QUORUM,128,CONCURRENT_WRITE,2.361432913772904,0.42341404909855207,0.43093501757757885,0.4235555438277631,0.42341404909855207,0.43093501757757885,0.4235555438277631,0.814127931031766,1.4978078572757523,1.4172433008488974,0.34477796673891525,,,
A_H1_H2,1000000,3,3,LOCAL_QUORUM,128,READ_SINGLE,3.074663416847178,0.3251701132518788,0.328935277320374,0.3241013957491986,,,,0.7745450971300832,1.4785653848969424,1.655219228851728,0.2519016452087664,0.3251701132518788,0.328935277320374,0.3241013957491986
A_H1_H2,10000000,3,3,LOCAL_QUORUM,1,CONCURRENT_WRITE,2.232204069081888,0.4526355326237623,0.4882340043451536,0.469891219962793,0.4526355326237623,0.4882340043451536,0.469891219962793,0.2797519364179189,1.4889125000371264,1.1792117332609398,0.12690754429932644,,,
A_H1_H2,10000000,3,3,LOCAL_QUORUM,1,READ_SINGLE,2.2456462928178733,0.4471614439553519,0.48105452066107174,0.42316317263617054,,,,0.3258595101065272,1.3093492767954973,1.245697871278581,0.14547890900022395,0.4471614439553519,0.48105452066107174,0.42316317263617054
A_H1_H2,10000000,3,3,LOCAL_QUORUM,8,CONCURRENT_WRITE,1.8430946597824236,0.5423046872014616,0.5151682657970094,0.4866224667537834,0.5423046872014616,0.5151682657970094,0.4866224667537834,0.6340169425021064,1.4478517209433968,1.2271391747122657,0.34383916394184455,,,
A_H1_H2,10000000,3,3,LOCAL_QUORUM,8,READ_SINGLE,1.9352002527318697,0.5237841028921021,0.5021984352071678,0.4740421236428186,,,,0.6800755700357795,1.2460853794563667,1.4265659908852182,0.35706363766051324,0.5237841028921021,0.5021984352071678,0.4740421236428186
A_H1_H2,10000000,3,3,LOCAL_QUORUM,32,CONCURRENT_WRITE,1.8783303695347913,0.5330429028255649,0.5510352044286563,0.5368366602762132,0.5330429028255649,0.5510352044286563,0.5368366602762132,0.8658481768530331,1.4346183336868037,1.2435074220572542,0.4615536538362713,,,
A_H1_H2,10000000,3,3,LOCAL_QUORUM,32,READ_SINGLE,2.6876419138085166,0.37202038790486824,0.36076761539233765,0.350198577835787,,,,0.8055572159477348,1.234949099506781,1.6005445791115214,0.2997216482469588,0.37202038790486824,0.36076761539233765,0.350198577835787
A_H1_H2,10000000,3,3,LOCAL_QUORUM,128,CONCURRENT_WRITE,2.5108564580990405,0.38634187679572846,0.38478967389203017,0.366458970300641,0.38634187679572846,0.38478967389203017,0.366458970300641,0.9706581525394838,1.42778803821217,1.5304744772125578,0.3758029442332354,,,
A_H1_H2,10000000,3,3,LOCAL_QUORUM,128,READ_SINGLE,3.8120060094525146,0.26213828200338585,0.26003558082939177,0.25702289037838383,,,,0.8556354918092272,1.2291356162427896,1.9813349020566366,0.22435297294755863,0.26213828200338585,0.26003558082939177,0.25702289037838383
B_H3,1000000,1,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,1.8171214224577912,0.5480607557583175,0.5205609065491068,0.23566066479338785,0.5480607557583175,0.5205609065491068,0.23566066479338785,0.2662561979247795,1.4184432499272457,1.3521415636081024,0.1459730077435595,,,
B_H3,1000000,1,1,LOCAL_QUORUM,8,READ_SINGLE,1.8028241868623582,0.5547050580676116,0.5425324646552425,0.15704109853629095,,,,0.37882975545898434,1.48809777618724,1.540121701702831,0.21013806119562536,0.5547050580676116,0.5425324646552425,0.15704109853629095
B_H3,1000000,1,1,LOCAL_QUORUM,32,CONCURRENT_WRITE,1.7495766310241125,0.5716288822268091,0.4905831565192305,0.1137599996741995,0.5716288822268091,0.4905831565192305,0.1137599996741995,0.47477434888246356,1.5087472593280835,1.600933764839766,0.2713569643097536,,,
B_H3,1000000,1,1,LOCAL_QUORUM,32,READ_SINGLE,2.4565401545099323,0.40640249409285323,0.07980113664117687,0.08120981960608169,,,,0.5535871801727084,1.4850234651087129,1.9412294923024205,0.2249851356360743,0.40640249409285323,0.07980113664117687,0.08120981960608169
B_H3,1000000,2,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,1.3712417192559372,0.7293320925194267,0.6737667491759055,0.5715761733355758,0.7293320925194267,0.6737667491759055,0.5715761733355758,0.5257087980406724,1.0465334547947378,1.2710367096616886,0.38339514152073806,,,
B_H3,1000000,2,1,LOCAL_QUORUM,8,READ_SINGLE,1.4442096085267404,0.692431500715094,0.629586792071148,0.5467242547407598,,,,0.5491540514033928,1.5063380095616927,1.2745370992621383,0.38025935513088044,0.692431500715094,0.629586792071148,0.5467242547407598
B_H3,1000000,2,1,LOCAL_QUORUM,32,CONCURRENT_WRITE,1.1521605595770388,0.868457886830993,0.8465618639722108,0.7972937272114415,0.868457886830993,0.8465618639722108,0.7972937272114415,0.6759829129942708,1.5179137357458128,1.1258505981881808,0.5869883756994889,,,
B_H3,1000000,2,1,LOCAL_QUORUM,32,READ_SINGLE,1.3273670988557027,0.7545855068841949,0.7166875852444673,0.7021786254759379,,,,0.6608207255318712,1.5030272622578775,1.1863074963996056,0.4986747916766229,0.7545855068841949,0.7166875852444673,0.7021786254759379
B_H3,1000000,3,1,LOCAL_QUORUM,8,CONCURRENT_WRITE,1.5764031746990794,0.6343513804685433,0.5715019768926631,0.47960731407226487,0.6343513804685433,0.5715019768926631,0.47960731407226487,0.6067694361741626,1.3249238791829083,1.2454541197849562,0.38488867987240166,,,
