suite,datasetSize,nodes,rf,cl,concurrency,profile,database,n,throughput,throughput_sd,throughput_min,throughput_max,total_meanMs,total_meanMs_sd,total_meanMs_min,total_meanMs_max,total_p95Ms,total_p95Ms_sd,total_p95Ms_min,total_p95Ms_max,total_p99Ms,total_p99Ms_sd,total_p99Ms_min,total_p99Ms_max,read_meanMs,read_meanMs_sd,read_meanMs_min,read_meanMs_max,read_p95Ms,read_p95Ms_sd,read_p95Ms_min,read_p95Ms_max,read_p99Ms,read_p99Ms_sd,read_p99Ms_min,read_p99Ms_max,write_meanMs,write_meanMs_sd,write_meanMs_min,write_meanMs_max,write_p95Ms,write_p95Ms_sd,write_p95Ms_min,write_p95Ms_max,write_p99Ms,write_p99Ms_sd,write_p99Ms_min,write_p99Ms_max,cpu_percent_sum_mean,cpu_percent_sum_mean_sd,cpu_percent_sum_mean_min,cpu_percent_sum_mean_max,memory_gib_sum_mean,memory_gib_sum_mean_sd,memory_gib_sum_mean_min,memory_gib_sum_mean_max,client_cpu_percent,client_cpu_percent_sd,client_cpu_percent_min,client_cpu_percent_max,cpu_core_seconds_per_1000_ops,cpu_core_seconds_per_1000_ops_sd,cpu_core_seconds_per_1000_ops_min,cpu_core_seconds_per_1000_ops_max,throughput_cv_pct
A_H1_H2,1000000,3,3,LOCAL_QUORUM,1,CONCURRENT_WRITE,cassandra,3,318.8709291475635,8.108837725224664,310.6243417969209,326.8346130446191,3.1266762427733332,0.07974702741870102,3.04927871488,3.20858155008,3.7287243333333335,0.2430686410159347,3.493887,3.979263,5.442217666666667,0.7696811608486551,4.579327,6.057983,,,,,,,,,,,,,3.1266762427733332,0.07974702741870102,3.04927871488,3.20858155008,3.7287243333333335,0.2430686410159347,3.493887,3.979263,5.442217666666667,0.7696811608486551,4.579327,6.057983,258.331540521494,1.6431364889475115,256.4372727272727,259.372,7.627050281888653,0.010181543183204297,7.616837209302325,7.6372,11.279411000408592,0.37203359801487823,11.051663510293034,11.708732536093352,8.105033764067944,0.21853396871394354,7.930168302028207,8.35002171753724,2.542984318734226
A_H1_H2,1000000,3,3,LOCAL_QUORUM,1,CONCURRENT_WRITE,scylla,3,671.9205201475881,7.004012081185548,665.7129982182059,679.5138455516845,1.4845769721212319,0.015366908381271797,1.4679562975644453,1.4982684576187735,1.850367,0.032268188173493674,1.818623,1.883135,2.213887,0.04893820168334749,2.160639,2.256895,,,,,,,,,,,,,1.4845769721212319,0.015366908381271797,1.4679562975644453,1.4982684576187735,1.850367,0.032268188173493674,1.818623,1.883135,2.213887,0.04893820168334749,2.160639,2.256895,72.9524358974359,0.7088958550685225,72.215,73.62884615384615,10.02621794871795,2.6209174294683013,6.999846153846154,11.543076923076923,12.786970413173746,0.17747720926416238,12.582282551648925,12.897993014139143,1.0858813569381258,0.021790608659021445,1.0627450856629714,1.1060148495059465,1.0423869894086741
A_H1_H2,1000000,3,3,LOCAL_QUORUM,1,READ_SINGLE,cassandra,3,308.8217867259765,13.808703564548695,292.9389170320319,317.9802391765447,3.23157543424,0.14814918637712893,3.13416961024,3.40206611456,3.854335,0.483401757084105,3.545087,4.411391,4.998484333333334,1.3376455729397578,4.079615,6.533119,3.23157543424,0.14814918637712893,3.13416961024,3.40206611456,3.854335,0.483401757084105,3.545087,4.411391,4.998484333333334,1.3376455729397578,4.079615,6.533119,,,,,,,,,,,,,183.56715277777778,2.772679045180872,180.39977272727273,185.55522727272728,7.770958333333334,0.053563777846379564,7.709295454545455,7.805954545454545,10.836798387013785,0.578895787283524,10.198596144529231,11.328073129349354,5.953467192707263,0.3229291149603127,5.6733013722627454,6.306654650229758,4.471414957779978
A_H1_H2,1000000,3,3,LOCAL_QUORUM,1,READ_SINGLE,scylla,3,645.8737180301241,1.955128726266496,644.0372111719538,647.9290555617243,1.5440216012390091,0.004570477751422699,1.5393202603834413,1.5484488824863922,1.9141963333333334,0.02272111170989066,1.895423,1.939455,2.2862496666666665,0.06346597467409873,2.244607,2.359295,1.5440216012390091,0.004570477751422699,1.5393202603834413,1.5484488824863922,1.9141963333333334,0.02272111170989066,1.895423,1.939455,2.2862496666666665,0.06346597467409873,2.244607,2.359295,,,,,,,,,,,,,62.84307692307692,0.49387416048071786,62.45576923076923,63.39923076923077,11.544089743589742,0.004324372467613607,11.541038461538461,11.54903846153846,12.987416050017133,0.25877659662375924,12.791577698351507,13.280785557066968,0.9730040216543575,0.009004685297501994,0.963929132281666,0.9819368212139878,0.30271068038339144
A_H1_H2,1000000,3,3,LOCAL_QUORUM,8,CONCURRENT_WRITE,cassandra,3,1872.0285798537552,8.284258848502905,1862.6925944762038,1878.5016978682656,4.269279176066315,0.019089136480182033,4.254552772508428,4.290846071387669,7.595348333333334,0.033107573836409825,7.565311,7.630847,10.674175,0.008191999999999311,10.665983,10.682367,,,,,,,,,,,,,4.269279176066315,0.019089136480182033,4.254552772508428,4.290846071387669,7.595348333333334,0.033107573836409825,7.565311,7.630847,10.674175,0.008191999999999311,10.665983,10.682367,426.78933333333333,2.815203788952645,423.74399999999997,429.29679999999996,7.68372,0.030182272942905132,7.66308,7.7183600000000006,43.24353123978663,0.7984588655421226,42.32655420584682,43.785094418254666,2.2798921695206635,0.02448498355051762,2.2557552142799073,2.304710939814091,0.4425284388099502
A_H1_H2,1000000,3,3,LOCAL_QUORUM,8,CONCURRENT_WRITE,scylla,3,3081.4118988932246,28.521321279223287,3049.9720802043066,3105.624105813643,2.5937493800787523,0.024101837716484584,2.5733461108940645,2.6203424312128303,4.318548333333333,0.04263251966906651,4.284415,4.366335,6.444372333333333,0.07839676945725045,6.361087,6.516735,,,,,,,,,,,,,2.5937493800787523,0.024101837716484584,2.5733461108940645,2.6203424312128303,4.318548333333333,0.04263251966906651,4.284415,4.366335,6.444372333333333,0.07839676945725045,6.361087,6.516735,258.6177333333333,4.837632484318469,254.5416,263.9636,11.558520000000001,0.001614434885649321,11.55672,11.559840000000001,51.327526473950385,1.0674191208507435,50.25357391968929,52.38828993396614,0.8394119663891637,0.022673678233042872,0.8241220742056291,0.865462348699002,0.9255926249089749
A_H1_H2,1000000,3,3,LOCAL_QUORUM,8,READ_SINGLE,cassandra,3,1612.5003076187352,115.49840756565118,1479.1638289024977,1681.6015970928672,4.974710485798574,0.3715832169189171,4.753730500799471,5.403712600152472,8.669865666666666,0.9485166315913147,8.101887,9.764863,12.326228333333333,1.8497661769870621,11.157503,14.458879,4.974710485798574,0.3715832169189171,4.753730500799471,5.403712600152472,8.669865666666666,0.9485166315913147,8.101887,9.764863,12.326228333333333,1.8497661769870621,11.157503,14.458879,,,,,,,,,,,,,419.9716,1.5794099151265486,418.522,421.6548,7.7751600000000005,0.025064524731181374,7.74636,7.79204,40.754979268584854,1.7652739013084688,38.814797446497025,42.26633057867047,2.613415788238297,0.18732394204477756,2.496060902449415,2.829449935309281,7.162690575620032
A_H1_H2,1000000,3,3,LOCAL_QUORUM,8,READ_SINGLE,scylla,3,2944.822907207898,57.94144213212594,2896.7075252404584,3009.1409164957004,2.7150576784437352,0.05313757816395609,2.656204720031607,2.759512436917093,4.5151563333333335,0.12902941787566605,4.366335,4.595711,6.985044333333334,0.5619934907143793,6.406143,7.528447,2.7150576784437352,0.05313757816395609,2.656204720031607,2.759512436917093,4.5151563333333335,0.12902941787566605,4.366335,4.595711,6.985044333333334,0.5619934907143793,6.406143,7.528447,,,,,,,,,,,,,267.04173333333335,0.8206433898675788,266.0956,267.5604,11.560653333333335,0.004005263204001762,11.55728,11.56508,54.78446526207651,2.659462483723785,51.73017497486138,56.587697046798354,0.9070841557585573,0.02033262170605543,0.8842909235034497,0.9233559055217255,1.967569662348983
A_H1_H2,1000000,3,3,LOCAL_QUORUM,32,CONCURRENT_WRITE,cassandra,3,3617.6623449851786,17.23509278480836,3598.871493010745,3632.73459533617,8.84069013882535,0.0422435448395181,8.80352533622037,8.886633098713293,15.884287,0.07508092018615656,15.818751,15.966207,22.746452333333334,0.23247581625049396,22.495231,22.953983,,,,,,,,,,,,,8.84069013882535,0.0422435448395181,8.80352533622037,8.886633098713293,15.884287,0.07508092018615656,15.818751,15.966207,22.746452333333334,0.23247581625049396,22.495231,22.953983,485.84186666666665,1.435815271312199,484.3168,487.1676,7.694186666666667,0.03707105249832201,7.66732,7.73648,53.2002087481734,0.980858514099296,52.15531499449668,54.10111461529552,1.343004214028916,0.010260106341452456,1.333201717025468,1.3536676731750852,0.47641518586442233
A_H1_H2,1000000,3,3,LOCAL_QUORUM,32,CONCURRENT_WRITE,scylla,3,6989.419372430593,76.27868313197628,6903.393889598441,7048.807391797586,4.57542692922791,0.0502878412868916,4.5364898493335195,4.632202235830351,8.151038999999999,0.16773607611959931,8.036351,8.343551,11.444223000000001,0.3361715737179456,11.116543,11.788287,,,,,,,,,,,,,4.57542692922791,0.0502878412868916,4.5364898493335195,4.632202235830351,8.151038999999999,0.16773607611959931,8.036351,8.343551,11.444223000000001,0.3361715737179456,11.116543,11.788287,356.26613333333336,4.90737823825854,353.0736,361.9168,11.572093333333333,0.0018583146486358668,11.56996,11.573360000000001,68.65618878381663,0.44010613102263485,68.14948494846958,68.94318329350017,0.5098136147594611,0.012624236948151096,0.5008983511322178,0.5242592350775629,1.0913450612629374
A_H1_H2,1000000,3,3,LOCAL_QUORUM,32,READ_SINGLE,cassandra,3,2930.375334710727,15.472823673046047,2916.079558813872,2946.80392123455,10.915244671481743,0.057576161730937325,10.85412667156813,10.968463260238586,18.945364333333334,0.09316336767921994,18.841599,19.021823,25.60272966666667,0.254523915146166,25.395199,25.886719,10.915244671481743,0.057576161730937325,10.85412667156813,10.968463260238586,18.945364333333334,0.09316336767921994,18.841599,19.021823,25.60272966666667,0.254523915146166,25.395199,25.886719,,,,,,,,,,,,,484.57013333333333,0.5943836247183663,484.0524,485.2192,7.795426666666667,0.0484434405604447,7.73956,7.8258,54.3488428544658,1.4421900596330435,52.68452022823299,55.23034801179304,1.6536458786171073,0.010011982432391606,1.6439465025451931,1.6639436277841644,0.528015080176528
A_H1_H2,1000000,3,3,LOCAL_QUORUM,32,READ_SINGLE,scylla,3,5992.01172449779,1049.8024952233338,4781.850906897163,6658.070618317621,5.461427083491971,1.0635701913677102,4.803285416138372,6.688450427736961,10.280959,2.9182498094686826,8.478719,13.647871,16.220159,7.514609610124535,11.526143,24.887295,5.461427083491971,1.0635701913677102,4.803285416138372,6.688450427736961,10.280959,2.9182498094686826,8.478719,13.647871,16.220159,7.514609610124535,11.526143,24.887295,,,,,,,,,,,,,359.1469333333333,11.08981597202285,351.5732,371.876,11.572280000000001,0.0016975276139136759,11.57032,11.57328,67.52078236521407,8.846710861982903,57.3132088375362,72.96862593150537,0.6157720625568482,0.14038187812097416,0.5280406594558417,0.7776821302889638,17.520034063540173
A_H1_H2,1000000,3,3,LOCAL_QUORUM,128,CONCURRENT_WRITE,cassandra,3,6271.473129963474,45.83033624788335,6233.593757372744,6322.41726235143,20.404064399797,0.14859063031076852,20.23897543996767,20.527086057516005,35.979263,0.3125867975203034,35.651583,36.274175,49.151998999999996,0.8919880557406588,48.201727,49.971199,,,,,,,,,,,,,20.404064399797,0.14859063031076852,20.23897543996767,20.527086057516005,35.979263,0.3125867975203034,35.651583,36.274175,49.151998999999996,0.8919880557406588,48.201727,49.971199,514.8329282051282,3.3368084170935752,511.06038461538463,517.3976,7.731458974358974,0.021842746447884667,7.711576923076923,7.75484,53.89167425666359,1.8780358560159824,52.68049179164578,56.055083339181515,0.8209195919331286,0.0032366538951897296,0.8183540859933212,0.8245559725056611,0.7307746568970833
A_H1_H2,1000000,3,3,LOCAL_QUORUM,128,CONCURRENT_WRITE,scylla,3,14809.663066938121,150.65828297785208,14709.344702243512,14982.907941015148,8.639367525585666,0.08743548146411406,8.538827972825839,8.69762555377695,15.504724333333334,0.18250579762115277,15.294463,15.622143,20.818601666666666,0.4342017602420935,20.381695,21.250047,,,,,,,,,,,,,8.639367525585666,0.08743548146411406,8.538827972825839,8.69762555377695,15.504724333333334,0.18250579762115277,15.294463,15.622143,20.818601666666666,0.4342017602420935,20.381695,21.250047,419.1398666666667,0.5291965734330857,418.70640000000003,419.7296,11.58024,0.002154437281519252,11.5778,11.58188,76.37761431178745,2.0419246547560546,74.1173266217918,78.08894742418552,0.2830349877628441,0.002533579307165482,0.28013894342299595,0.2848417849206399,1.017297168050971
A_H1_H2,1000000,3,3,LOCAL_QUORUM,128,READ_SINGLE,cassandra,3,4639.961628881535,50.56470158081303,4593.87717660641,4694.051503719651,27.578219641024898,0.2988621099049585,27.259305479739567,27.85186463274224,47.60098033333333,0.7866595226432688,46.825471,48.398335,62.90363633333333,1.5838619936109724,61.177855,64.290815,27.578219641024898,0.2988621099049585,27.259305479739567,27.85186463274224,47.60098033333333,0.7866595226432688,46.825471,48.398335,62.90363633333333,1.5838619936109724,61.177855,64.290815,,,,,,,,,,,,,518.1985333333333,3.379604008361547,514.5336,521.192,7.83188,0.009834714027362771,7.82072,7.8392800000000005,50.764862742178885,2.2421614721443888,48.225194406298534,52.47041657339321,1.116876374148908,0.010287802691856049,1.1053777309193094,1.125209256704611,1.0897655115523373
A_H1_H2,1000000,3,3,LOCAL_QUORUM,128,READ_SINGLE,scylla,3,14266.320275896696,81.17453132131105,14172.766015225874,14318.097883008015,8.967612803957254,0.051025450119157705,8.93555575991508,9.026453193554064,15.657641666666667,0.1334399437250077,15.564799,15.810559,20.387156333333333,0.20874870624110062,20.250623,20.627455,8.967612803957254,0.051025450119157705,8.93555575991508,9.026453193554064,15.657641666666667,0.1334399437250077,15.564799,15.810559,20.387156333333333,0.20874870624110062,20.250623,20.627455,,,,,,,,,,,,,401.36813333333333,1.3350269710134581,400.128,402.7812,11.579946666666666,0.000257164020292804,11.57976,11.58024,84.02697696087316,1.8286806280961527,82.35235245021887,85.97820007475724,0.2813429961429117,0.0010694712423293964,0.28020146480219127,0.2823217426789805,0.5689941747519677
A_H1_H2,10000000,3,3,LOCAL_QUORUM,1,CONCURRENT_WRITE,cassandra,3,324.6761101729693,1.2770702912285172,323.37943774996995,325.9326313886521,3.0692756855466667,0.01183023787340825,3.05767374848,3.08132171776,3.510271,0.02815534506980859,3.485695,3.540991,4.523348333333334,0.12653480339153045,4.386815,4.636671,,,,,,,,,,,,,3.0692756855466667,0.01183023787340825,3.05767374848,3.08132171776,3.510271,0.02815534506980859,3.485695,3.540991,4.523348333333334,0.12653480339153045,4.386815,4.636671,254.9406976744186,0.4232987455865532,254.45511627906976,255.23186046511628,7.829992248062015,0.02410835389653392,7.803162790697674,7.849837209302326,11.411620346153857,0.136892373066195,11.280947942342042,11.553982932923821,7.852207442338342,0.021516969025138773,7.82784820261948,7.868623869517919,0.39333669808602967
A_H1_H2,10000000,3,3,LOCAL_QUORUM,1,CONCURRENT_WRITE,scylla,3,724.7433342617815,88.42044291144249,670.1712953597647,826.7594959059721,1.3892632346965788,0.15819476394159038,1.2068166343318685,1.4882654711850918,1.7138336666666667,0.22214035222204295,1.460223,1.873919,2.1254816666666665,0.2532207967867832,1.836031,2.306047,,,,,,,,,,,,,1.3892632346965788,0.15819476394159038,1.2068166343318685,1.4882654711850918,1.7138336666666667,0.22214035222204295,1.460223,1.873919,2.1254816666666665,0.2532207967867832,1.836031,2.306047,71.32015384615384,3.0381435784560313,67.81846153846153,73.2552,11.658173333333334,0.03775869348022228,11.629679999999999,11.701,13.456716607703894,0.581873861166866,13.028149199759262,14.119134971064382,0.9965043638360538,0.152838903591113,0.8202925019221621,1.0930817315993038,12.200242310818485
A_H1_H2,10000000,3,3,LOCAL_QUORUM,1,READ_SINGLE,cassandra,3,308.111107319796,28.133249377690383,280.7770444844441,336.9806542277483,3.25302926336,0.29590012283866296,2.95787573248,3.5496703692800002,3.909631,0.7319730782371712,3.325951,4.730879,5.472937666666667,2.5605916670936293,3.807231,8.421375,3.25302926336,0.29590012283866296,2.95787573248,3.5496703692800002,3.909631,0.7319730782371712,3.325951,4.730879,5.472937666666667,2.5605916670936293,3.807231,8.421375,,,,,,,,,,,,,183.26548143547274,4.5750588578162805,178.14880952380952,186.9622,8.941143671497585,0.5042099630630418,8.35896,9.237166666666667,10.548991265435147,0.5171330767709533,10.03381047731334,11.068054766628004,5.989833417069338,0.6867050244031029,5.286618305495,6.658742360626218,9.130878020729774
A_H1_H2,10000000,3,3,LOCAL_QUORUM,1,READ_SINGLE,scylla,3,691.9085659287099,77.44879445674835,603.4214512390956,747.3699066211282,1.4546292626330724,0.17243127691996366,1.3350921088554715,1.6522952539657696,1.8807456666666666,0.20829613217084317,1.701887,2.109439,2.315945666666667,0.28156896798712283,1.991679,2.498559,1.4546292626330724,0.17243127691996366,1.3350921088554715,1.6522952539657696,1.8807456666666666,0.20829613217084317,1.701887,2.109439,2.315945666666667,0.28156896798712283,1.991679,2.498559,,,,,,,,,,,,,59.7188,0.48608262672101493,59.43,60.28,11.70708,0.003920612197094516,11.703199999999999,11.71104,13.140855963488907,0.48630849520962294,12.69751700545038,13.660994668270279,0.8713944306083308,0.11117947151719806,0.7951885602229294,0.9989701207376378,11.19350131946888
A_H1_H2,10000000,3,3,LOCAL_QUORUM,8,CONCURRENT_WRITE,cassandra,3,1902.8351832211488,50.21105883228747,1866.6871711095155,1960.1665623977226,4.201945961259018,0.10949114959410199,4.077093880834493,4.281613821261804,7.380991,0.23519030837175248,7.118847,7.573503,10.308265666666665,0.2512064923152532,10.027007,10.510335,,,,,,,,,,,,,4.201945961259018,0.10949114959410199,4.077093880834493,4.281613821261804,7.380991,0.23519030837175248,7.118847,7.573503,10.308265666666665,0.2512064923152532,10.027007,10.510335,426.462,1.374100491230547,424.88,427.3584,8.10292,0.4937052205516974,7.81668,8.673,43.562400472886544,1.660408463501281,42.33933093064313,45.45261891747642,2.242344305052996,0.06547279173828888,2.167570900098799,2.2893948520896954,2.6387497600969
A_H1_H2,10000000,3,3,LOCAL_QUORUM,8,CONCURRENT_WRITE,scylla,3,3507.1053646410087,16.516579233630313,3490.075561986436,3523.0557723895495,2.278734990158017,0.010695440245453054,2.2683934055313855,2.2897522482928117,3.8024523333333335,0.01550720572293207,3.784703,3.813375,5.0162336666666665,0.039782542771086435,4.972543,5.050367,,,,,,,,,,,,,2.278734990158017,0.010695440245453054,2.2683934055313855,2.2897522482928117,3.8024523333333335,0.01550720572293207,3.784703,3.813375,5.0162336666666665,0.039782542771086435,4.972543,5.050367,270.3841333333333,3.7759158959560124,267.1536,274.5352,11.731826666666667,0.008152676452143305,11.72292,11.73892,53.45712816478321,0.7050794279721994,52.726557262443315,54.133599440245185,0.7710057911191786,0.014379927847700983,0.7583007969777334,0.7866167798491548,0.47094619397957466
A_H1_H2,10000000,3,3,LOCAL_QUORUM,8,READ_SINGLE,cassandra,3,1558.0240962026865,13.749838092916583,1542.2586383369405,1567.5334170616309,5.130712544857259,0.04568219783179258,5.0993184828910945,5.183120239872629,8.694441666666666,0.09773345542511755,8.626175,8.806399,12.044969666666667,0.21925399938275525,11.862015,12.287999,5.130712544857259,0.04568219783179258,5.0993184828910945,5.183120239872629,8.694441666666666,0.09773345542511755,8.626175,8.806399,12.044969666666667,0.21925399938275525,11.862015,12.287999,,,,,,,,,,,,,433.4698666666667,2.2668481848887323,430.8768,435.0756,9.395546666666666,0.5647425414587902,8.74432,9.75052,40.65260491493824,1.1282363565750955,39.41046445466811,41.61387006569644,2.7823823942999018,0.03639668166400253,2.7487567110861737,2.821028776789047,0.882517679054422
A_H1_H2,10000000,3,3,LOCAL_QUORUM,8,READ_SINGLE,scylla,3,3015.0886247337817,414.4010428937424,2544.6051801043545,3325.909580959954,2.6873856675053136,0.39722791391497597,2.403221910718909,3.1412819700196932,4.366334999999999,0.7578928316008803,3.837951,5.234687,5.709823,1.4026811654713272,4.722687,7.315455,2.6873856675053136,0.39722791391497597,2.403221910718909,3.1412819700196932,4.366334999999999,0.7578928316008803,3.837951,5.234687,5.709823,1.4026811654713272,4.722687,7.315455,,,,,,,,,,,,,294.79226666666665,8.005019648528888,287.8008,303.5244,11.707653333333333,0.028872695290417794,11.67984,11.73748,57.993623612544155,3.7430412273184874,53.7527478550227,60.83627145825077,0.9934875790712914,0.17308989829957025,0.8811171586793914,1.19281530342382,13.744240865567662
A_H1_H2,10000000,3,3,LOCAL_QUORUM,32,CONCURRENT_WRITE,cassandra,3,3737.806846748576,31.68717528499709,3710.392711088395,3772.5002423195083,8.555193338707062,0.0720362220631845,8.477353713409741,8.619509250255277,15.035049666666668,0.21554977037643364,14.786559,15.171583,21.200895,0.6723431474358912,20.512767,21.856255,,,,,,,,,,,,,8.555193338707062,0.0720362220631845,8.477353713409741,8.619509250255277,15.035049666666668,0.21554977037643364,14.786559,15.171583,21.200895,0.6723431474358912,20.512767,21.856255,482.6124,3.4818347117575987,480.54879999999997,486.6324,8.172933333333333,0.577200668514281,7.83448,8.8394,55.677823943923805,0.7700932141881132,54.86365016821005,56.394562823125135,1.2911763564279037,0.0035166091551677176,1.2884397415954436,1.2951426908636774,0.8477477992893336
A_H1_H2,10000000,3,3,LOCAL_QUORUM,32,CONCURRENT_WRITE,scylla,3,7020.836115702926,301.5124851201924,6676.9119306431085,7239.66925346931,4.560285091498348,0.20042473181179632,4.416860466587579,4.789293639918661,8.284841666666667,0.6267995369153789,7.847935,9.003007,11.381417666666668,1.1721241544432621,10.477567,12.705791,,,,,,,,,,,,,4.560285091498348,0.20042473181179632,4.416860466587579,4.789293639918661,8.284841666666667,0.6267995369153789,7.847935,9.003007,11.381417666666668,1.1721241544432621,10.477567,12.705791,417.8690666666667,6.246429333093702,411.9848,424.4236,11.72504,0.006763194511470615,11.718160000000001,11.731679999999999,69.23578731826635,3.5923499843281363,65.1357118877215,71.83081540756773,0.5959471650563027,0.027940334264445005,0.5690657757639597,0.6248379555304634,4.294538145475641
A_H1_H2,10000000,3,3,LOCAL_QUORUM,32,READ_SINGLE,cassandra,3,2634.4495656470094,15.046260291348087,2617.0836012568934,2643.587970015352,12.141384818583067,0.07009922077763278,12.099404885695733,12.22230945512437,21.200895,0.11814670419440343,21.102591,21.331967,28.874068333333334,0.17364978997203898,28.688383,29.032447,12.141384818583067,0.07009922077763278,12.099404885695733,12.22230945512437,21.200895,0.11814670419440343,21.102591,21.331967,28.874068333333334,0.17364978997203898,28.688383,29.032447,,,,,,,,,,,,,495.1976,0.1674089603336637,495.0796,495.3892,9.5022,0.5953043147836237,8.81488,9.85484,49.99802645099715,0.7915009898190972,49.09637732044245,50.57825523147662,1.879743863959195,0.011405585048905015,1.8727562903727581,1.8929055218644217,0.5711348771883887
A_H1_H2,10000000,3,3,LOCAL_QUORUM,32,READ_SINGLE,scylla,3,7080.457072447543,23.994250647134667,7056.045660761247,7104.011183408995,4.516842689911551,0.01528980821174877,4.5019419434527235,4.532493919887632,7.648596333333334,0.05591202537319995,7.610367,7.712767,10.111657666666666,0.15807234745309975,9.986047,10.289151,4.516842689911551,0.01528980821174877,4.5019419434527235,4.532493919887632,7.648596333333334,0.05591202537319995,7.610367,7.712767,10.111657666666666,0.15807234745309975,9.986047,10.289151,,,,,,,,,,,,,398.91,1.6125669970577987,397.0532,399.9592,11.734733333333333,0.003205328896281416,11.731639999999999,11.73804,80.02407020241795,1.5087901525751355,78.386585891381,81.35801287505437,0.563399929187957,0.0029121897189865993,0.5607055118245264,0.5664895314139395,0.3388799677990341
A_H1_H2,10000000,3,3,LOCAL_QUORUM,128,CONCURRENT_WRITE,cassandra,3,5994.828857924922,1204.858540242685,4624.262603025326,6887.1028250116615,22.002689093923316,4.936942655183287,18.579203421774206,27.661989677518548,38.56247366666666,8.624683469485783,32.686079,48.463871,52.592639,11.26947688230896,44.957695,65.535999,,,,,,,,,,,,,22.002689093923316,4.936942655183287,18.579203421774206,27.661989677518548,38.56247366666666,8.624683469485783,32.686079,48.463871,52.592639,11.26947688230896,44.957695,65.535999,509.22946666666667,6.761735520806257,501.446,513.6544,8.201226666666667,0.5915365217240042,7.853800000000001,8.88424,50.93360050026407,6.8610423282961355,43.01119767469841,54.918295162570864,0.8740242188475431,0.18362319722747927,0.7458207217911405,1.0843804581338865,20.098297529376683
